UT	MJD	Telescope	Exp_time	Filter	mag	mag_err
2023-09-19 21:28:30.720	60206.89479999989	GIT	360.0	r	20.03630927931297	0.1501227681035037
2023-09-19 22:17:11.731	60206.92860800028	GIT	360.0	g	20.29362724029661	0.1451735847172235
2023-09-20 18:19:27.437	60207.763511999976	GIT	300.0	g	19.725281459538515	0.0796525746212621
2023-09-20 18:27:38.534	60207.76919599995	GIT	600.0	i	19.59845852640684	0.0973515623115223
2023-09-20 18:35:49.718	60207.774881000165	GIT	300.0	r	19.59789341011866	0.0879873188117011
2023-09-21 16:43:56.093	60208.69717699988	GIT	300.0	g	19.654513691938924	0.080610355099509
2023-09-21 16:54:46.685	60208.70470699994	GIT	300.0	i	19.656708528089908	0.1077759256259126
2023-09-21 17:05:38.659	60208.712252999656	GIT	300.0	r	19.505839177115977	0.1087023696217654
2023-09-21 21:42:08.582	60208.904265999794	GIT	300.0	g	19.56979053823348	0.0814151807406425
2023-09-21 21:47:30.941	60208.90799700003	GIT	900.0	g	19.59590403814532	0.0986091555494454
2023-09-21 21:47:33.619	60208.908028000034	GIT	900.0	g	19.62221461495232	0.0765118142526547
2023-09-21 21:52:50.794	60208.91169900028	GIT	300.0	g	19.54127783642576	0.0807575271997765
2023-09-21 21:58:16.090	60208.915463999845	GIT	300.0	i	19.563893569243437	0.077680693136939
2023-09-21 22:09:07.286	60208.923000999726	GIT	300.0	r	19.46624618661584	0.0966275351688178
2023-09-22 14:28:56.093	60209.60342699988	GIT	720.0	r	19.60331996646552	0.0986695634105347
2023-09-22 14:28:57.994	60209.603449000046	GIT	720.0	g	19.74925503080075	0.0857485973740727
2023-09-23 14:25:20.698	60210.60093400022	GIT	720.0	g	19.85739505845436	0.0804573212246469
2023-09-23 15:09:19.181	60210.63147199992	GIT	720.0	r	19.74228545030175	0.0834194695901868
2023-09-24 14:26:58.589	60211.60206699977	GIT	720.0	g	19.87160883411101	0.079120521546731
2023-09-26 14:15:22.810	60213.59401400015	GIT	720.0	g	19.79408088214411	0.0925780644280804
2023-09-26 14:15:22.982	60213.59401600016	GIT	720.0	r	19.50061151959873	0.0901664398503883
2023-09-27 14:15:25.142	60214.59404100012	GIT	720.0	g	19.46681921965309	0.0764915773458148
2023-09-27 14:15:28.771	60214.59408299997	GIT	720.0	r	19.47623360318168	0.0738885230139511
2023-09-28 13:59:36.643	60215.58306299988	GIT	720.0	g	19.64069565350356	0.105422383784552
2023-09-28 14:12:21.197	60215.59191199997	GIT	720.0	r	19.55654885000521	0.1310164512484915
2023-09-29 14:30:48.240	60216.60472499998	GIT	720.0	g	19.337250387849743	0.0636509586987277
2023-09-30 18:54:14.947	60217.78767299978	GIT	720.0	g	19.629936223679465	0.1760822300624205
2023-09-30 19:07:07.536	60217.79661500035	GIT	720.0	r	19.577846592657792	0.191582424514019
2023-10-02 14:04:33.254	60219.58649599971	GIT	720.0	g	19.89956409444798	0.0987195389779439
2023-10-02 14:17:42.173	60219.59562700009	GIT	720.0	r	19.711286491160926	0.0998871332599825
2023-10-03 14:41:56.371	60220.61245799996	GIT	720.0	r	19.896195446515065	0.1363930610738425
2023-10-03 14:41:56.458	60220.6124590002	GIT	720.0	g	19.995784425960228	0.1383162028748957
2023-10-04 14:44:33.878	60221.6142810001	GIT	720.0	r	19.678927812805668	0.0975112410730417
2023-10-04 14:57:25.085	60221.62320700008	GIT	720.0	g	19.82788332342345	0.0985742461367643
2023-10-04 15:10:17.242	60221.63214399992	GIT	720.0	i	19.828751230364453	0.0934443210439402
2023-10-04 17:10:18.250	60221.71548900008	GIT	720.0	r	19.831832823446888	0.0887608846053993
2023-10-04 17:23:12.394	60221.72444900032	GIT	720.0	g	20.23353297186241	0.109018957131458
2023-10-04 17:35:56.602	60221.73329399992	GIT	720.0	i	19.98021821388119	0.0961519605710616
2023-10-04 22:39:00.086	60221.94375099987	GIT	720.0	r	19.697125196673596	0.106175519853619
2023-10-04 22:51:44.726	60221.952600999735	GIT	720.0	g	20.086811968604483	0.1103220542274879
2023-10-05 15:42:40.205	60222.65463199979	GIT	1080.0	r	19.7426373461922	0.0974875485931197
2023-10-05 16:01:44.746	60222.66787900031	GIT	1080.0	g	19.8969135421021	0.1023158528429749
2023-10-05 16:20:52.224	60222.68115999969	GIT	1080.0	i	19.83339113991924	0.0866879291154225
2023-10-05 22:43:00.538	60222.94653399987	GIT	1080.0	r	19.776777302899315	0.0849501745162592
2023-10-05 23:02:10.176	60222.95984000014	GIT	1080.0	g	19.89827214737464	0.0879302941379436
2023-10-05 23:21:19.642	60222.97314399993	GIT	1080.0	i	19.82141130360138	0.0752344356858633
2023-10-06 14:58:18.912	60223.62382999994	GIT	720.0	r	19.6710235938123	0.0784696512171169
2023-10-06 22:40:10.589	60223.94456700003	GIT	1080.0	r	19.5569453951437	0.1011843083028389
2023-10-06 22:59:19.882	60223.9578689998	GIT	1080.0	g	19.71817039110291	0.0853191808248775
2023-10-06 23:18:29.002	60223.971169000026	GIT	1080.0	i	19.58887549366304	0.0987594501267669
2023-10-08 13:50:27.053	60225.57670200011	GIT	720.0	r	19.078097016338184	0.1460260325907982
2023-10-09 13:24:07.056	60226.55841500033	GIT	720.0	g	19.47218641722593	0.1517312743200867
2023-10-09 13:24:07.142	60226.5584160001	GIT	720.0	r	19.252298451852653	0.1771418823005953
2023-10-10 13:48:36.634	60227.57542400016	GIT	720.0	g	19.45745383086429	0.1842099230154975
2023-10-11 13:14:52.368	60228.55199499987	GIT	720.0	g	19.222569966414248	0.0874530869996612
2023-10-11 13:27:44.179	60228.56092799967	GIT	720.0	r	19.08002844994308	0.0923422174081295
2023-10-15 15:00:09.936	60232.62511500018	GIT	720.0	g	18.98194571303759	0.0874687122754139
2023-10-15 15:12:55.786	60232.63397900015	GIT	720.0	r	18.91184755898893	0.0686417708889052
2023-10-17 19:40:38.237	60234.81988699967	GIT	600.0	r	18.417319537887693	0.0867590485106673
2023-10-17 19:51:31.248	60234.82744499994	GIT	600.0	g	18.68533474128293	0.0750921231809881
2023-10-18 14:27:30.902	60235.60244099982	GIT	600.0	r	18.668336173274533	0.1153711274995872
2023-10-18 14:38:23.914	60235.609999000095	GIT	600.0	g	18.76029038158368	0.0949190312206797
2023-10-18 14:49:18.653	60235.617577000055	GIT	600.0	i	18.492347847222877	0.1707374212217668
2023-10-18 21:25:35.242	60235.89276900003	GIT	1200.0	z	18.57491217219332	0.1707049745412893
2023-10-18 21:41:45.341	60235.90399700031	GIT	600.0	r	18.503051688668585	0.1027623740887764
2023-10-18 21:52:38.870	60235.91156100016	GIT	600.0	g	18.69916142521506	0.0837959488429131
2023-10-18 22:06:12.413	60235.92097700015	GIT	900.0	i	18.45837229897405	0.112204378118833
2023-10-19 20:12:35.194	60236.84207400028	GIT	600.0	r	18.669720061699945	0.119833821912773
2023-10-19 20:23:25.958	60236.84960600035	GIT	600.0	g	18.890710086093826	0.0961842956892439
2023-10-19 20:36:54.576	60236.85896500014	GIT	900.0	i	18.609652521245	0.1185837986503678
2023-10-19 20:55:42.614	60236.8720209999	GIT	1200.0	z	18.81661812517312	0.1714789083296428
2023-10-20 14:02:43.958	60237.58523100009	GIT	600.0	r	18.724231988161584	0.1049112596457587
2023-10-20 14:13:35.069	60237.59276699973	GIT	600.0	g	18.894600836151326	0.0905541407824729
2023-10-20 14:27:05.846	60237.60215099994	GIT	900.0	i	18.74048179131113	0.0953431146214387
2023-10-21 19:58:58.109	60238.83261699975	GIT	600.0	r	18.717298956466703	0.0890166728513501
2023-10-21 20:17:46.061	60238.8456720002	GIT	600.0	g	18.911758843238985	0.0834919203854176
2023-10-21 20:31:10.013	60238.85497700004	GIT	900.0	i	18.75426093287068	0.0867083095031521
2023-10-23 20:07:42.125	60240.83868200006	GIT	600.0	r	18.994318960680445	0.1170260105185594
2023-10-23 20:18:31.421	60240.84619700024	GIT	600.0	g	19.144661737757488	0.0924822543921148
2023-10-08 13:37:37.229	60225.56779199978	GIT	720.0	g	19.474264225103045	0.22506398141794
2023-10-23 20:32:01.766	60240.85557599971	GIT	900.0	i	19.02238275122417	0.0977230828154247
2023-10-24 21:43:36.278	60241.90528100031	GIT	1200.0	r	19.01623968707652	0.0886522068829629
2023-10-24 22:09:10.138	60241.92303400021	GIT	1200.0	g	19.223713351831165	0.072138014906847
2023-10-24 22:45:37.958	60241.94835600024	GIT	600.0	i	19.16848986654653	0.066637078811502
2023-10-25 14:04:54.163	60242.58673800016	GIT	600.0	r	19.180091576507248	0.0906607167880448
2023-10-25 14:15:45.360	60242.59427500004	GIT	600.0	g	19.3317532719144	0.0679795842044194
2023-10-25 21:10:44.198	60242.88245599996	GIT	600.0	r	19.210164407524392	0.0769722223265818
2023-10-25 21:21:36.518	60242.890006000176	GIT	600.0	g	19.476784067278565	0.0791716576180947
2023-10-25 15:32:20.717	60242.64746199967	GIT	600.0	i	19.366053445068065	0.0795590254523142
2023-10-25 21:35:08.160	60242.8994	GIT	900.0	i	19.33067208226442	0.0732548245540983
2023-10-12 13:19:32.477	60229.55523699988	GIT	720.0	g	19.4655496933485	0.0843081567122796
2023-10-20 13:49:05.146	60237.575753999874	GIT	900.0	z	18.51645322874928	0.1194198038146052
2023-10-26 14:57:04.694	60243.62297099968	GIT	600.0	r	19.143197669532977	0.0861233148289626
2023-10-26 15:43:03.706	60243.654904	GIT	1200.0	g	19.49857502271296	0.0685417909582374
2023-10-26 15:48:36.086	60243.65875099972	GIT	1500.0	i	19.352432674684483	0.1090538169524183
2023-10-27 12:58:10.128	60244.54039500002	GIT	900.0	r	19.176870982299494	0.0984462055825972
2023-10-27 13:14:25.843	60244.551688000094	GIT	900.0	g	19.61671152992605	0.0744234115910034
2023-10-27 13:30:36.288	60244.56291999994	GIT	900.0	i	19.500887113564893	0.0797438866876726
2023-10-27 20:08:42.432	60244.83937999979	GIT	900.0	r	19.464176610329137	0.0771805095014994
2023-10-27 20:24:50.371	60244.85058300011	GIT	900.0	g	19.60623881125364	0.0543695745840773
2023-10-27 20:41:07.814	60244.86189599987	GIT	900.0	i	19.64254584478069	0.0775513686007048
2023-10-27 22:09:44.266	60244.92342900019	GIT	1600.0	z	19.085343077004516	0.143691283800678
2023-10-28 14:06:43.200	60245.58799999999	GIT	900.0	r	19.47083910193964	0.0800725887310677
2023-10-28 14:22:58.224	60245.599285	GIT	900.0	g	20.020070326960276	0.0679538261377362
2023-10-28 20:42:36.720	60245.86292500002	GIT	900.0	r	19.393487093114757	0.0751062615261749
2023-10-28 20:58:42.672	60245.87410499994	GIT	600.0	g	19.89854594714128	0.0650439206739814
2023-10-29 14:39:32.774	60246.61079599988	GIT	900.0	r	19.445447871640155	0.0690428549698096
2023-10-29 15:14:38.947	60246.63517299993	GIT	1200.0	i	19.717466025008203	0.0858401154762062
2023-10-29 20:41:06.518	60246.86188099999	GIT	900.0	r	19.66670337194005	0.0870074195287488
2023-10-29 20:57:18.950	60246.87313600024	GIT	900.0	g	20.118123864237702	0.0659373880175073
2023-10-29 21:16:02.237	60246.88613699982	GIT	1200.0	i	19.667269744914982	0.0760841338881465
2023-10-30 14:22:30.058	60247.59895899985	GIT	900.0	r	19.94136472808601	0.0724881604933787
2023-10-30 14:38:44.045	60247.61023199977	GIT	900.0	g	20.066735300876665	0.0665872912808734
2023-10-30 14:57:29.923	60247.623263000045	GIT	1200.0	i	20.10853369139618	0.1020026596338545
2023-10-31 14:35:46.838	60248.60818100022	GIT	3600.0	z	19.679791972761965	0.1399194946177533
2023-10-31 15:47:35.693	60248.65805200022	GIT	900.0	r	20.05571684931972	0.0837192626916282
2023-10-31 16:04:41.347	60248.66992300004	GIT	900.0	g	20.70275301791834	0.0760672079759351
2023-10-31 16:23:35.088	60248.6830450003	GIT	1200.0	i	19.965084324405822	0.0771927905356272
2023-10-31 21:10:33.053	60248.88232700015	GIT	900.0	r	19.736518123203364	0.087503014165341
2023-10-31 21:24:12.643	60248.8918130002	GIT	600.0	g	20.640071248383784	0.0712619815739576
2023-11-01 13:28:44.832	60249.561629999895	GIT	1200.0	i	20.064272993943728	0.0786153898114719
2023-11-01 13:38:15.418	60249.56823399989	GIT	2700.0	z	19.66722847981396	0.1423286030289428
2023-11-01 13:47:32.266	60249.5746790003	GIT	900.0	g	20.7030301559658	0.0930957275034388
2023-11-01 14:03:41.414	60249.5858959998	GIT	900.0	r	19.787655090411704	0.0800622139172093
2023-10-29 14:55:48.835	60246.62209299998	GIT	900.0	g	20.325632349076145	0.0570923120023116
2023-11-03 14:33:01.469	60251.60626699962	GIT	900.0	g	20.90750679174517	0.0970411589064215
2023-11-03 14:38:44.650	60251.61023900006	GIT	2100.0	i	20.55953957945732	0.082650332514916
2023-11-03 14:49:22.541	60251.617622000165	GIT	900.0	r	20.08651865710653	0.0855326199884606
2023-11-04 13:52:39.677	60252.57823699992	GIT	900.0	g	21.03203180800544	0.0832071271054373
2023-11-04 14:08:42.950	60252.58938599983	GIT	900.0	r	20.05404089136936	0.0838928240182824
2023-11-04 13:28:30.749	60252.56146699982	GIT	1800.0	i	20.96414414367511	0.0942342493792451
2023-11-05 13:23:06.230	60253.55771100009	GIT	900.0	g	20.930119095132287	0.1072178229203783
2023-11-05 13:39:14.170	60253.568913999945	GIT	900.0	r	20.24549179513736	0.0998072629422336
2023-11-05 12:58:56.266	60253.54092899989	GIT	1800.0	i	20.83199436168036	0.080397593462767
2023-11-05 21:11:16.080	60253.88282500021	GIT	900.0	g	20.775294883106245	0.087139740817232
2023-11-05 21:27:33.264	60253.89413499972	GIT	900.0	r	20.31024977621055	0.104190402278216
2023-11-06 13:49:22.944	60254.575960000046	GIT	1200.0	r	20.17657350102689	0.0905368553076995
2023-11-06 14:17:30.077	60254.59548699996	GIT	2100.0	g	20.720716257697383	0.0940328606015774
2023-11-06 20:43:08.947	60254.86329799984	GIT	900.0	r	20.47666772352488	0.0912486726556532
2023-11-06 21:04:51.773	60254.87837699987	GIT	1500.0	g	20.96410065407356	0.0962954915225656
2023-11-07 14:52:17.846	60255.619651000015	GIT	2100.0	g	20.83160054236891	0.1110220508647571
2023-11-07 15:22:03.302	60255.64031600021	GIT	1800.0	r	20.567295077089923	0.0821530310069798
2023-11-07 20:39:08.582	60255.86051600007	GIT	900.0	r	20.59431378225952	0.1024373327561874
2023-11-07 20:58:00.595	60255.87361800019	GIT	1200.0	g	20.822612810446675	0.1027362882853758
2023-11-08 21:25:38.870	60256.89281099988	GIT	1500.0	g	20.696977200745337	0.0848411796932156
2023-11-08 21:49:57.907	60256.90969800018	GIT	1200.0	r	20.48598737211864	0.0845814069194527
2023-11-09 14:47:19.939	60257.61620299984	GIT	1200.0	g	20.860975597102208	0.1147547966394134
2023-11-10 13:21:56.333	60258.556902000215	GIT	1500.0	g	20.802432201861137	0.0954238333408449
2023-11-10 14:58:16.406	60258.62380099995	GIT	3600.0	r	20.36800373608187	0.0845157066419402
2023-11-11 13:04:41.002	60259.54491900001	GIT	1500.0	g	20.619216561281966	0.0946930157189541
2023-11-11 13:34:08.832	60259.56538000005	GIT	1800.0	r	20.377768776739376	0.0916943622526965
2023-11-11 14:18:36.950	60259.59626100026	GIT	2100.0	i	20.21567947314673	0.0890382600116712
2023-11-11 20:39:57.485	60259.86108200019	GIT	1200.0	g	20.65279772141094	0.0947066332447947
2023-11-11 21:04:17.213	60259.87797700008	GIT	1500.0	r	20.209953577499466	0.0858967576356546
2023-10-28 14:41:44.880	60245.61232500011	GIT	1200.0	i	20.17311806127969	0.0977948514137868
2023-11-06 13:39:04.061	60254.56879700022	GIT	2700.0	i	20.83609063917277	0.0835492365482449
2023-11-09 14:09:13.018	60257.58973400016	GIT	3000.0	i	20.47973577888243	0.0774334143239375
2023-11-12 14:31:03.965	60260.60490699997	GIT	1200.0	g	20.53071541798481	0.0894931301868258
2023-11-12 16:14:42.778	60260.67688400019	GIT	1200.0	r	20.044237353385277	0.0943754673898326
2023-11-12 13:53:23.914	60260.578749000095	GIT	3000.0	i	20.539139498455057	0.0853500122467238
2023-11-12 21:33:51.869	60260.89851700002	GIT	900.0	g	20.44498326828253	0.1238480398486421
2023-11-12 21:50:12.595	60260.90986800008	GIT	900.0	r	20.015790113592967	0.1022258120292392
2023-11-13 14:01:07.968	60261.58412000025	GIT	3000.0	i	20.21371475120112	0.0936486530463983
2023-11-13 14:36:15.610	60261.60851399973	GIT	900.0	g	20.263828026734437	0.1023967938712981
2023-11-13 14:55:46.675	60261.622068000026	GIT	1200.0	r	20.1728220301037	0.0912316118962299
2023-11-14 13:43:39.418	60262.57198400004	GIT	3000.0	i	20.16582789890694	0.0803295176971852
2023-11-14 14:18:34.618	60262.59623399982	GIT	900.0	g	20.37860088340232	0.0915409109547445
